"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-77.97","72.69","POND INLET A","2403201","2008-06-22","2008","06","22","","9.0","","1.1","","5.1","","12.9","","0.0","","","M","","M","","M","","","","","<31",""
"-77.97","72.69","POND INLET A","2403201","2008-06-23","2008","06","23","","6.8","","1.3","","4.1","","13.9","","0.0","","","M","","M","","M","","","","","<31",""
"-77.97","72.69","POND INLET A","2403201","2008-06-24","2008","06","24","","5.8","","0.9","","3.4","","14.6","","0.0","","","M","","M","","M","","","","","<31",""
"-77.97","72.69","POND INLET A","2403201","2008-06-25","2008","06","25","","6.6","","0.9","","3.8","","14.2","","0.0","","","M","","M","","M","","","","","<31",""
"-77.97","72.69","POND INLET A","2403201","2008-06-26","2008","06","26","","9.1","","0.8","","5.0","","13.0","","0.0","","","M","","M","","M","","","","","<31",""
"-77.97","72.69","POND INLET A","2403201","2008-06-27","2008","06","27","","10.9","","3.7","","7.3","","10.7","","0.0","","","M","","M","","M","","","","","<31",""
"-77.97","72.69","POND INLET A","2403201","2008-06-28","2008","06","28","","12.8","","3.4","","8.1","","9.9","","0.0","","","M","","M","","M","","","","","<31",""
"-77.97","72.69","POND INLET A","2403201","2008-06-29","2008","06","29","","13.4","","3.1","","8.3","","9.7","","0.0","","","M","","M","","M","","","4","","54",""
"-77.97","72.69","POND INLET A","2403201","2008-06-30","2008","06","30","","7.6","","2.4","","5.0","","13.0","","0.0","","","M","","M","","M","","","6","","63",""
"-77.97","72.69","POND INLET A","2403201","2008-07-01","2008","07","01","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-07-02","2008","07","02","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-07-03","2008","07","03","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-07-04","2008","07","04","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-07-05","2008","07","05","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-07-06","2008","07","06","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-07-07","2008","07","07","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-07-08","2008","07","08","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-07-09","2008","07","09","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-07-10","2008","07","10","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-07-11","2008","07","11","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-07-12","2008","07","12","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-07-13","2008","07","13","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-07-14","2008","07","14","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-07-15","2008","07","15","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-07-16","2008","07","16","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-07-17","2008","07","17","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-07-18","2008","07","18","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-07-19","2008","07","19","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-07-20","2008","07","20","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-07-21","2008","07","21","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-07-22","2008","07","22","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-07-23","2008","07","23","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-07-24","2008","07","24","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-07-25","2008","07","25","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-07-26","2008","07","26","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-07-27","2008","07","27","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-07-28","2008","07","28","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-07-29","2008","07","29","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-07-30","2008","07","30","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-07-31","2008","07","31","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-08-01","2008","08","01","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-08-02","2008","08","02","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-08-03","2008","08","03","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-08-04","2008","08","04","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-08-05","2008","08","05","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-08-06","2008","08","06","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-08-07","2008","08","07","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-08-08","2008","08","08","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-08-09","2008","08","09","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-08-10","2008","08","10","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-08-11","2008","08","11","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-08-12","2008","08","12","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-08-13","2008","08","13","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-08-14","2008","08","14","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-08-15","2008","08","15","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-08-16","2008","08","16","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-08-17","2008","08","17","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-08-18","2008","08","18","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-08-19","2008","08","19","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-08-20","2008","08","20","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-08-21","2008","08","21","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-08-22","2008","08","22","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-08-23","2008","08","23","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-08-24","2008","08","24","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-08-25","2008","08","25","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-08-26","2008","08","26","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-08-27","2008","08","27","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-08-28","2008","08","28","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-08-29","2008","08","29","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-08-30","2008","08","30","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-08-31","2008","08","31","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-09-01","2008","09","01","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-09-02","2008","09","02","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-09-03","2008","09","03","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-09-04","2008","09","04","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-09-05","2008","09","05","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-09-06","2008","09","06","†","","","","","","","","","","","0.0","","0.0","","0.0","","2","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-09-07","2008","09","07","†","","","","","","","","","","","0.0","","0.0","","0.0","","1","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-09-08","2008","09","08","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-09-09","2008","09","09","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-09-10","2008","09","10","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-09-11","2008","09","11","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-09-12","2008","09","12","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-09-13","2008","09","13","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-09-14","2008","09","14","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-09-15","2008","09","15","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-09-16","2008","09","16","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-09-17","2008","09","17","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-09-18","2008","09","18","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","T","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-09-19","2008","09","19","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","T","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-09-20","2008","09","20","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","T","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-09-21","2008","09","21","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","T","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-09-22","2008","09","22","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","T","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-09-23","2008","09","23","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","T","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-09-24","2008","09","24","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","T","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-09-25","2008","09","25","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","T","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-09-26","2008","09","26","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","T","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-09-27","2008","09","27","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","T","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-09-28","2008","09","28","†","","","","","","","","","","","0.0","","0.0","","0.0","","6","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-09-29","2008","09","29","†","","","","","","","","","","","0.0","","0.0","","0.0","","7","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-09-30","2008","09","30","†","","","","","","","","","","","0.0","","0.0","","0.0","","13","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-10-01","2008","10","01","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-10-02","2008","10","02","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-10-03","2008","10","03","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-10-04","2008","10","04","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-10-05","2008","10","05","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-10-06","2008","10","06","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-10-07","2008","10","07","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-10-08","2008","10","08","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-10-09","2008","10","09","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-10-10","2008","10","10","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-10-11","2008","10","11","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-10-12","2008","10","12","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-10-13","2008","10","13","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-10-14","2008","10","14","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-10-15","2008","10","15","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-10-16","2008","10","16","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-10-17","2008","10","17","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-10-18","2008","10","18","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-10-19","2008","10","19","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-10-20","2008","10","20","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-10-21","2008","10","21","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-10-22","2008","10","22","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-10-23","2008","10","23","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-10-24","2008","10","24","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-10-25","2008","10","25","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-10-26","2008","10","26","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-10-27","2008","10","27","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-10-28","2008","10","28","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-10-29","2008","10","29","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-10-30","2008","10","30","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-10-31","2008","10","31","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-11-01","2008","11","01","†","","","","","","","","","","","0.0","","0.0","","0.0","","15","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-11-02","2008","11","02","†","","","","","","","","","","","0.0","","0.0","","0.0","","15","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-11-03","2008","11","03","†","","","","","","","","","","","0.0","","0.0","","0.0","","15","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-11-04","2008","11","04","†","","","","","","","","","","","0.0","","0.0","","0.0","","15","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-11-05","2008","11","05","†","","","","","","","","","","","0.0","","0.0","","0.0","","15","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-11-06","2008","11","06","†","","","","","","","","","","","0.0","","0.0","","0.0","","15","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-11-07","2008","11","07","†","","","","","","","","","","","0.0","","0.0","","0.0","","15","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-11-08","2008","11","08","†","","","","","","","","","","","0.0","","0.0","","0.0","","15","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-11-09","2008","11","09","†","","","","","","","","","","","0.0","","0.0","","0.0","","15","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-11-10","2008","11","10","†","","","","","","","","","","","0.0","","0.0","","0.0","","15","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-11-11","2008","11","11","†","","","","","","","","","","","0.0","","0.0","","0.0","","15","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-11-12","2008","11","12","†","","","","","","","","","","","0.0","","0.0","","0.0","","15","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-11-13","2008","11","13","†","","","","","","","","","","","0.0","","0.0","","0.0","","15","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-11-14","2008","11","14","†","","","","","","","","","","","0.0","","0.0","","0.0","","15","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-11-15","2008","11","15","†","","","","","","","","","","","0.0","","0.0","","0.0","","15","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-11-16","2008","11","16","†","","","","","","","","","","","0.0","","0.0","","0.0","","15","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-11-17","2008","11","17","†","","","","","","","","","","","0.0","","0.0","","0.0","","15","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-11-18","2008","11","18","†","","","","","","","","","","","0.0","","0.0","","0.0","","15","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-11-19","2008","11","19","†","","","","","","","","","","","0.0","","0.0","","0.0","","15","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-11-20","2008","11","20","†","","","","","","","","","","","0.0","","0.0","","0.0","","15","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-11-21","2008","11","21","†","","","","","","","","","","","0.0","","0.0","","0.0","","15","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-11-22","2008","11","22","†","","","","","","","","","","","0.0","","0.0","","0.0","","15","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-11-23","2008","11","23","†","","","","","","","","","","","0.0","","0.0","","0.0","","15","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-11-24","2008","11","24","†","","","","","","","","","","","0.0","","0.0","","0.0","","15","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-11-25","2008","11","25","†","","","","","","","","","","","0.0","","0.0","","0.0","","15","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-11-26","2008","11","26","†","","","","","","","","","","","0.0","","0.0","","0.0","","15","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-11-27","2008","11","27","†","","","","","","","","","","","0.0","","0.0","","0.0","","15","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-11-28","2008","11","28","†","","","","","","","","","","","0.0","","0.0","","0.0","","15","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-11-29","2008","11","29","†","","","","","","","","","","","0.0","","0.0","","0.0","","15","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-11-30","2008","11","30","†","","","","","","","","","","","0.0","","0.0","","0.0","","15","","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-12-01","2008","12","01","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-12-02","2008","12","02","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-12-03","2008","12","03","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-12-04","2008","12","04","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-12-05","2008","12","05","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-12-06","2008","12","06","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-12-07","2008","12","07","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-12-08","2008","12","08","†","","","","","","","","","","","0.0","","3.5","","3.5","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-12-09","2008","12","09","†","","","","","","","","","","","0.0","","1.0","","1.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-12-10","2008","12","10","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-12-11","2008","12","11","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-12-12","2008","12","12","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-12-13","2008","12","13","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-12-14","2008","12","14","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-12-15","2008","12","15","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-12-16","2008","12","16","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-12-17","2008","12","17","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-12-18","2008","12","18","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-12-19","2008","12","19","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-12-20","2008","12","20","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-12-21","2008","12","21","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-12-22","2008","12","22","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-12-23","2008","12","23","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-12-24","2008","12","24","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-12-25","2008","12","25","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-12-26","2008","12","26","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-12-27","2008","12","27","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-12-28","2008","12","28","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-12-29","2008","12","29","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-12-30","2008","12","30","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-77.97","72.69","POND INLET A","2403201","2008-12-31","2008","12","31","†","","","","","","","","","","","0.0","","3.0","","3.0","","","M","","","",""
